"RUN", "N", "ddetns", "infs", "DDETns", "INFS", "MINRELERReps", "MAXRELERReps", "ydetns", "zdetns", "ZDETns", "NZERO", "ERR"
 1, 1073741824, 9620935006, 251936963, 470994604498, 251936786, 2.16089607686490334E-009, 1.98296076485395756E+000, 6465214945, 5965070974, 21631624700, 1073741824, 0
 2, 1073741824, 9599295112, 251929942, 470977681298, 251929771, 4.82263846332251524E-010, 1.98126545806782439E+000, 6405110583, 5951841102, 21635426407, 1073741824, 0
 3, 1073741824, 9618827114, 251947356, 470970089337, 251947212, 7.48879318463290093E-010, 1.99190314897520060E+000, 6459123870, 5962732848, 21615577232, 1073741824, 0
 4, 1073741824, 9593106363, 251933005, 470974688159, 251932820, 6.98208184388404644E-011, 1.98397572464268590E+000, 6412937227, 5956273131, 21597135311, 1073741824, 0
 5, 1073741824, 9606576336, 251938123, 470937017599, 251937970, 3.04911671737277982E-011, 1.99156247655468999E+000, 6465721051, 5960565047, 21608797371, 1073741824, 0
 6, 1073741824, 9608205314, 251936132, 470971510390, 251935947, 8.25926518762474594E-010, 1.98926489118446481E+000, 6399069666, 5946099706, 21590056559, 1073741824, 0
 7, 1073741824, 9619425951, 251955444, 470963604325, 251955262, 2.66712751220989405E-011, 1.98787197438430896E+000, 6459865933, 5962484385, 21609792823, 1073741824, 0
 8, 1073741824, 9600400067, 251950569, 470966136707, 251950397, 4.73844241251628654E-010, 1.99515740743579917E+000, 6405174216, 5950365643, 21604371068, 1073741824, 0
 9, 1073741824, 9606520586, 251948411, 470954293625, 251948234, 2.79888289603313652E-009, 1.99475119038608284E+000, 6463717115, 6006108662, 21611804975, 1073741824, 0
10, 1073741824, 9593158738, 251913494, 470999414926, 251913331, 8.49624745090585119E-010, 1.98938210984386443E+000, 6401080140, 5951369397, 21579135442, 1073741824, 0
11, 1073741824, 9620640138, 251957218, 470959200407, 251957067, 4.15056284391699708E-010, 1.99079738074864521E+000, 6464839008, 5953946360, 21584895577, 1073741824, 0
12, 1073741824, 9613117095, 251929640, 471058431814, 251929466, 1.05458899541137754E-009, 1.99227195768979248E+000, 6559620833, 6225662129, 21593340203, 1073741824, 0
13, 1073741824, 9622260899, 251947527, 470938395356, 251947370, 5.25272906087182196E-010, 1.99420718535991948E+000, 6464665950, 5958271056, 21602139346, 1073741824, 0
14, 1073741824, 9593939061, 251912312, 471035715373, 251912142, 1.10281344164081310E-010, 1.98951266452937925E+000, 6392941219, 5941857572, 21607797178, 1073741824, 0
15, 1073741824, 9617389132, 251943292, 470948503770, 251943114, 9.54102196242339951E-011, 1.98660148141659687E+000, 6460561694, 5958454794, 21603294900, 1073741824, 0
16, 1073741824, 9602046244, 251930527, 470972450921, 251930370, 3.55934597896571880E-010, 1.99578975180829810E+000, 6400916401, 5942469782, 21589778695, 1073741824, 0
17, 1073741824, 9608544415, 251939208, 471150117814, 251939044, 7.91372974066545751E-010, 1.98738937568472140E+000, 6469278336, 5977826797, 21610799888, 1073741824, 0
18, 1073741824, 9601906879, 251927941, 471002252221, 251927775, 2.52502727440940811E-010, 1.98977688124779228E+000, 6398482316, 5950067392, 21593454012, 1073741824, 0
19, 1073741824, 9596367936, 251922963, 470946097356, 251922785, 7.22105967944692068E-010, 1.99511034868407200E+000, 6464315749, 5956461219, 21598286073, 1073741824, 0
20, 1073741824, 9600871902, 251932711, 471134960667, 251932540, 2.72384358414647743E-010, 1.99626859049748595E+000, 6401131815, 5957848884, 21600958151, 1073741824, 0
21, 1073741824, 9612188047, 251957124, 470949519507, 251956955, 1.46334443728967589E-009, 1.99220154040500730E+000, 6468732552, 5959288143, 21646130896, 1073741824, 0
22, 1073741824, 9606332792, 251938267, 470967765818, 251938134, 6.68019864447729921E-010, 1.99516689640943468E+000, 6396146151, 5949576296, 21601599325, 1073741824, 0
23, 1073741824, 9603643627, 251965943, 470972853631, 251965765, 5.47485995897152838E-010, 1.98745242143763479E+000, 6466763346, 5958367193, 21591898709, 1073741824, 0
24, 1073741824, 9612953570, 251943785, 470949646888, 251943615, 3.27761845847110301E-010, 1.99038199144717409E+000, 6395556365, 5942094156, 21582917124, 1073741824, 0
25, 1073741824, 9617246046, 251955665, 470921265035, 251955497, 2.96805773471938583E-010, 1.98529997007708392E+000, 6472238687, 5960101464, 21596900577, 1073741824, 0
26, 1073741824, 9598234373, 251920371, 470956102391, 251920201, 1.38931482013959334E-009, 1.99328927660515531E+000, 6394376067, 5951494949, 21580448902, 1073741824, 0
27, 1073741824, 9601884263, 251947262, 470944246929, 251947109, 2.24039905975809371E-009, 1.99228135651279969E+000, 6462161032, 5961921612, 21598123808, 1073741824, 0
28, 1073741824, 9598921893, 251947528, 470986326931, 251947358, 7.20488608159960894E-010, 1.99001206870096081E+000, 6397760745, 5950667961, 21593689554, 1073741824, 0
29, 1073741824, 9618440134, 251930909, 470969254732, 251930754, 8.73216159392318035E-010, 1.98773989595422429E+000, 6458057998, 5954972598, 21594548563, 1073741824, 0
30, 1073741824, 9602263840, 251947361, 470963424011, 251947175, 2.50091423910843224E-010, 1.99693225365667937E+000, 6400931631, 5942992385, 21592877270, 1073741824, 0
31, 1073741824, 9617411104, 251936192, 470974459946, 251936005, 8.93100529047775250E-010, 1.99377998062755779E+000, 6457441982, 5959358931, 21589887502, 1073741824, 0
