"RUN", "N", "ddetns", "infs", "DDETns", "INFS", "MINRELERReps", "MAXRELERReps", "ydetns", "zdetns", "ZDETns", "NZERO", "ERR"
 1, 1073741824,  8456073146, 251924774,  69962966323, 251924622, 1.25636102122914855E-010, 1.98937421728195774E+000, 7729359452, 6072523624, 23856902930, 1073741824, 0
 2, 1073741824,  8972697496, 251928004,  67988463755, 251927820, 9.42539348082649659E-010, 1.99608558923008217E+000, 7516508895, 5933977061, 23882165637, 1073741824, 0
 3, 1073741824,  9403189107, 251945312,  77429400504, 251945134, 9.97272051970649699E-010, 1.99470969855641078E+000, 7602747297, 5807956905, 23850757761, 1073741824, 0
 4, 1073741824,  8883706139, 251956922,  71234164198, 251956748, 2.65186691313979343E-011, 1.99387662909828256E+000, 7633234349, 5978607838, 24256127736, 1073741824, 0
 5, 1073741824,  8881695640, 251946919,  68044271912, 251946746, 4.35585325386016965E-010, 1.98839000600934290E+000, 7612451923, 6039136525, 23346734313, 1073741824, 0
 6, 1073741824,  9243984903, 251960876,  73825520657, 251960710, 6.77554986158404698E-010, 1.99177985902699195E+000, 8160462764, 6158480187, 24170261165, 1073741824, 0
 7, 1073741824,  9952663354, 251941605,  80313918055, 251941435, 1.42070203934531886E-009, 1.99023165743381925E+000, 7917463756, 6241945093, 24656121556, 1073741824, 0
 8, 1073741824,  9319913271, 251942169,  72470208297, 251942009, 1.11372315826723733E-009, 1.98941186572992135E+000, 8157209729, 6347492610, 24161741799, 1073741824, 0
 9, 1073741824,  9424016714, 251954646,  71983818408, 251954491, 1.37065993385770568E-009, 1.99297045504730375E+000, 7971546401, 6203998969, 23676877963, 1073741824, 0
10, 1073741824,  9278834849, 251948813,  71733867203, 251948646, 3.49025913134532340E-010, 1.99222448775870808E+000, 7939215189, 6011613576, 24151513536, 1073741824, 0
11, 1073741824,  9677483528, 251939485,  77274340109, 251939298, 2.16933441104731777E-010, 1.98774887773466635E+000, 7835978955, 6190366373, 23384303276, 1073741824, 0
12, 1073741824,  9174003949, 251941722,  70250220653, 251941563, 2.47642206622773456E-010, 1.99246982966157993E+000, 7705903909, 6119488081, 24972026582, 1073741824, 0
13, 1073741824,  9282590583, 251927976,  74726532485, 251927821, 8.90953724117827343E-011, 1.98903527987956674E+000, 8333520069, 6127209719, 24579850343, 1073741824, 0
14, 1073741824,  9451945622, 251948198,  73671310900, 251948050, 1.01292067688457661E-009, 1.99247336016746424E+000, 8706627791, 6552180701, 24970417114, 1073741824, 0
15, 1073741824,  9862034428, 251910660,  73621547300, 251910487, 1.05124491123923995E-010, 1.98856895835325997E+000, 7982566844, 6150317419, 24226984189, 1073741824, 0
16, 1073741824,  9310732311, 251942780,  80015604567, 251942586, 3.13197575995442918E-010, 1.98680723414211591E+000, 7979417639, 6349927176, 24858418674, 1073741824, 0
17, 1073741824, 10407873605, 251941295,  83662740554, 251941143, 4.79156030459232709E-010, 1.98931956629929241E+000, 8375123284, 6241659142, 24528893441, 1073741824, 0
18, 1073741824, 10497182719, 251946316,  85113558862, 251946156, 5.84225967898734282E-010, 1.99384977522375650E+000, 8626180206, 6527674122, 25076398835, 1073741824, 0
19, 1073741824, 10481911428, 251949210,  88627559633, 251949050, 5.77121927625785586E-012, 1.99237432138008108E+000, 8690974266, 6411325937, 24900804507, 1073741824, 0
20, 1073741824, 11432454856, 251935551,  94334581884, 251935383, 8.51019046810162564E-010, 1.98773584819890714E+000, 8919913537, 6601319478, 25369494387, 1073741824, 0
21, 1073741824, 11077367392, 251962598,  95762993439, 251962416, 3.13218430621873729E-011, 1.99256449624628140E+000, 8942896970, 6858824141, 25867877453, 1073741824, 0
22, 1073741824, 10804212695, 251942237,  93669367839, 251942081, 2.75632286518858626E-011, 1.98412513085950581E+000, 9163795704, 6811361614, 26287353466, 1073741824, 0
23, 1073741824, 10253850447, 251950046,  93695567837, 251949885, 5.96478968815623313E-010, 1.99885847075679823E+000, 9307142844, 6918910580, 26907332386, 1073741824, 0
24, 1073741824, 10538912954, 251938482,  90415659222, 251938329, 3.26016022899921809E-010, 1.98311153969105058E+000, 8751611112, 6454410978, 26109392279, 1073741824, 0
25, 1073741824, 10475608578, 251954631,  87412193969, 251954486, 7.53579342141554402E-011, 1.99449461216744384E+000, 8967833116, 6342164645, 25050365249, 1073741824, 0
26, 1073741824,  9959174751, 251915062,  83720577382, 251914902, 2.34115213240976574E-011, 1.99345581103362313E+000, 9621661560, 6462218832, 25200092590, 1073741824, 0
27, 1073741824, 10424916305, 251938904,  89418700191, 251938747, 2.36866860629670005E-009, 1.99247685926015117E+000, 8660318650, 6406899619, 24973208703, 1073741824, 0
28, 1073741824, 10513939131, 251948101,  84793705293, 251947968, 4.18287702816172327E-010, 1.99885351724659910E+000, 8825325281, 6363920949, 25798249308, 1073741824, 0
29, 1073741824, 11702579675, 251939272,  96662018780, 251939119, 5.51572580318248646E-010, 1.99324244657012328E+000, 9252512272, 6670963937, 25804669091, 1073741824, 0
30, 1073741824, 11769072084, 251945332, 104523008799, 251945177, 1.94340265879932818E-011, 1.98830175797991182E+000, 9435373321, 6685164449, 26840979562, 1073741824, 0
31, 1073741824, 10852600222, 251949557,  97759115278, 251949385, 9.90480296768389976E-012, 1.99200717971052255E+000, 9112928147, 6737085275, 25322202573, 1073741824, 0
