"RUN", "N", "sdetns", "infs", "SDETns", "INFS", "MINRELERReps", "MAXRELERReps", "ydetfns", "zdetfns", "ZDETFns", "NZERO", "ERR"
 1, 1073741824, 8631530233, 253910162, 423054963056, 253899881, 0.000000000E+00, 1.994632006E+00, 2814338286, 2395260453, 9339471007, 1073741824, 0
 2, 1073741824, 8639031164, 253924849, 423039139460, 253914556, 0.000000000E+00, 1.997331262E+00, 2820468072, 2395551637, 9340595118, 1073741824, 0
 3, 1073741824, 8633946710, 253900170, 423024819704, 253889795, 0.000000000E+00, 1.995270133E+00, 2816780047, 2398179503, 9332944826, 1073741824, 0
 4, 1073741824, 8640996257, 253931340, 423079384478, 253920560, 0.000000000E+00, 1.994596004E+00, 2821884135, 2399235289, 9337011588, 1073741824, 0
 5, 1073741824, 8630589547, 253943679, 422998506170, 253933281, 0.000000000E+00, 1.992897153E+00, 2817273594, 2406467270, 9345147139, 1073741824, 0
 6, 1073741824, 8640537553, 253917815, 423054468236, 253907334, 0.000000000E+00, 1.992616534E+00, 2820325455, 2398473791, 9335225989, 1073741824, 0
 7, 1073741824, 8635947363, 253929078, 423030375945, 253918509, 0.000000000E+00, 1.996768117E+00, 2815423908, 2400394469, 9339542927, 1073741824, 0
 8, 1073741824, 8643661259, 253903558, 423117537568, 253893054, 0.000000000E+00, 1.992984533E+00, 2818966608, 2398986580, 9343024978, 1073741824, 0
 9, 1073741824, 8636136619, 253918270, 423040042020, 253907696, 0.000000000E+00, 1.990099430E+00, 2822903678, 2408026818, 9347882047, 1073741824, 0
10, 1073741824, 8644428108, 253906479, 422983455564, 253896178, 0.000000000E+00, 1.992878199E+00, 2819166655, 2398741916, 9344896975, 1073741824, 0
11, 1073741824, 8637625598, 253906417, 423013716036, 253895895, 0.000000000E+00, 1.993376136E+00, 2818382040, 2401403909, 9330169628, 1073741824, 0
12, 1073741824, 8646470362, 253913919, 423025425565, 253903473, 0.000000000E+00, 1.994199157E+00, 2819769463, 2400996866, 9335355406, 1073741824, 0
13, 1073741824, 8637836178, 253899599, 423059677388, 253889170, 0.000000000E+00, 1.991918802E+00, 2816089477, 2399945378, 9328669006, 1073741824, 0
14, 1073741824, 8643306237, 253929921, 423167119990, 253919406, 0.000000000E+00, 1.993056059E+00, 2820030084, 2402784761, 9364065970, 1073741824, 0
15, 1073741824, 8635208126, 253933789, 423195883740, 253923308, 0.000000000E+00, 1.997117519E+00, 2814644685, 2409186282, 9365886311, 1073741824, 0
16, 1073741824, 8644157425, 253913106, 423027401293, 253902646, 0.000000000E+00, 1.991980910E+00, 2820552155, 2402882624, 9333507080, 1073741824, 0
17, 1073741824, 8637340596, 253946995, 422828915984, 253936581, 0.000000000E+00, 1.993749142E+00, 2814860208, 2400795938, 9346989736, 1073741824, 0
18, 1073741824, 8646136390, 253947289, 422966997107, 253936879, 0.000000000E+00, 1.991172194E+00, 2824885908, 2409616807, 9342894094, 1073741824, 0
19, 1073741824, 8636995397, 253932823, 422988472766, 253922207, 0.000000000E+00, 1.998006582E+00, 2813008867, 2400405774, 9324185077, 1073741824, 0
20, 1073741824, 8644858144, 253935005, 423039755562, 253924349, 0.000000000E+00, 1.993148208E+00, 2818499961, 2403461482, 9339452116, 1073741824, 0
21, 1073741824, 8633589702, 253924684, 423017561809, 253914109, 0.000000000E+00, 1.994406343E+00, 2818793962, 2450627938, 9361239228, 1073741824, 0
22, 1073741824, 8643199538, 253931672, 423129668827, 253921187, 0.000000000E+00, 1.993480444E+00, 2826886200, 2404656684, 9345187466, 1073741824, 0
23, 1073741824, 8635428404, 253927915, 423022619334, 253917299, 0.000000000E+00, 1.992174029E+00, 2815309133, 2420831662, 9366109828, 1073741824, 0
24, 1073741824, 8648045779, 253924181, 423074049822, 253913576, 0.000000000E+00, 1.993600130E+00, 2823885969, 2405232793, 9341420740, 1073741824, 0
25, 1073741824, 8640951445, 253923129, 423011056418, 253912734, 0.000000000E+00, 1.991324902E+00, 2812616038, 2403978843, 9351279452, 1073741824, 0
26, 1073741824, 8646615763, 253948111, 423038093394, 253937673, 0.000000000E+00, 1.993410826E+00, 2826812567, 2404135907, 9333935232, 1073741824, 0
27, 1073741824, 8650656454, 253909249, 423005908394, 253898779, 0.000000000E+00, 1.993231416E+00, 2813796049, 2403335293, 9330478032, 1073741824, 0
28, 1073741824, 8646471652, 253902708, 423052715942, 253892019, 0.000000000E+00, 1.994588971E+00, 2819696774, 2403164570, 9339266501, 1073741824, 0
29, 1073741824, 8639119729, 253938535, 423096918814, 253927885, 0.000000000E+00, 1.994485736E+00, 2813208213, 2403854201, 9326356935, 1073741824, 0
30, 1073741824, 8644406247, 253923107, 423007410544, 253912448, 0.000000000E+00, 1.995083928E+00, 2816408121, 2402517944, 9325851191, 1073741824, 0
31, 1073741824, 8637143957, 253927020, 423008581588, 253916513, 0.000000000E+00, 1.995164394E+00, 2807425137, 2400931892, 9322573685, 1073741824, 0
