"RUN", "N", "sdetns", "infs", "SDETns", "INFS", "MINRELERReps", "MAXRELERReps", "ydetfns", "zdetfns", "ZDETFns", "NZERO", "ERR"
 1, 1073741824, 18445258980, 253914510, 83925053839, 253903926, 0.000000000E+00, 1.993082881E+00, 11622823881, 8641445823, 18558893708, 1073741824, 0
 2, 1073741824, 18800650875, 253922000, 89670523772, 253911576, 0.000000000E+00, 1.993229389E+00, 11448063796, 8612017908, 18425013363, 1073741824, 0
 3, 1073741824, 19363120099, 253918465, 88029660405, 253908049, 0.000000000E+00, 1.990870118E+00, 12080471187, 8778256321, 19438597928, 1073741824, 0
 4, 1073741824, 18812400856, 253928982, 85277379534, 253918621, 0.000000000E+00, 1.993143916E+00, 11359706627, 8633992702, 19126331807, 1073741824, 0
 5, 1073741824, 18855279058, 253917365, 88462456691, 253906712, 0.000000000E+00, 1.993093610E+00, 11950603784, 8781477206, 18682806436, 1073741824, 0
 6, 1073741824, 18355275926, 253922773, 84266247785, 253912219, 0.000000000E+00, 1.993739128E+00, 11587853632, 8531369247, 18321519019, 1073741824, 0
 7, 1073741824, 17596646603, 253935124, 83352307387, 253924747, 0.000000000E+00, 1.995010257E+00, 11247056100, 8541990920, 17716347887, 1073741824, 0
 8, 1073741824, 17587669767, 253927634, 76696449657, 253917087, 0.000000000E+00, 1.997014523E+00, 11513549881, 9749111580, 20115937450, 1073741824, 0
 9, 1073741824, 19235080807, 253919424, 91331124696, 253908778, 0.000000000E+00, 1.991614223E+00, 12132173071, 8967813521, 19592864726, 1073741824, 0
10, 1073741824, 19697103063, 253920624, 93766392386, 253910093, 0.000000000E+00, 1.991962194E+00, 13052635719, 9494461407, 19448261573, 1073741824, 0
11, 1073741824, 21486232344, 253917458, 94539324299, 253907106, 0.000000000E+00, 1.990244389E+00, 12573491584, 9233700176, 19390458836, 1073741824, 0
12, 1073741824, 20292560016, 253919171, 99701816637, 253908797, 0.000000000E+00, 1.993018746E+00, 12708677532, 9370958295, 19725140090, 1073741824, 0
13, 1073741824, 18447485409, 253932266, 86713239586, 253921765, 0.000000000E+00, 1.993996620E+00, 11894924305, 8637959602, 18757430677, 1073741824, 0
14, 1073741824, 17157595021, 253923925, 79245828710, 253913222, 0.000000000E+00, 1.995077372E+00, 10531795437, 8432510372, 17327522271, 1073741824, 0
15, 1073741824, 17778768024, 253908430, 79662337487, 253898024, 0.000000000E+00, 1.993724227E+00, 11295657147, 8916430460, 17753018968, 1073741824, 0
16, 1073741824, 16928928568, 253899939, 72440361595, 253889412, 0.000000000E+00, 1.991630673E+00, 10278192386, 8105927348, 16940293300, 1073741824, 0
17, 1073741824, 16529359689, 253912605, 70643740134, 253902088, 0.000000000E+00, 1.994182229E+00, 10417195270, 8240276974, 16905700806, 1073741824, 0
18, 1073741824, 16666400424, 253932538, 75042149869, 253921819, 0.000000000E+00, 1.991956592E+00, 10232709168, 8074417823, 16633599613, 1073741824, 0
19, 1073741824, 16302910212, 253919657, 70876308071, 253909042, 0.000000000E+00, 1.993753672E+00, 10118560207, 8087862177, 17114230805, 1073741824, 0
20, 1073741824, 15975121923, 253932273, 69360346535, 253921713, 0.000000000E+00, 1.994024515E+00, 10992692019, 8680474199, 18080613348, 1073741824, 0
21, 1073741824, 16504538275, 253948027, 71274252454, 253937594, 0.000000000E+00, 1.994362116E+00,  9853835478, 8080951166, 16873505225, 1073741824, 0
22, 1073741824, 15657205836, 253930754, 64456932783, 253920156, 0.000000000E+00, 1.998003244E+00,  9694635924, 8032069674, 16983151584, 1073741824, 0
23, 1073741824, 16779576570, 253925845, 71943636627, 253915231, 0.000000000E+00, 1.996681333E+00, 10514837704, 8214267186, 17241325500, 1073741824, 0
24, 1073741824, 17439151894, 253903188, 79810225101, 253892587, 0.000000000E+00, 1.995785236E+00, 11290173535, 8466573549, 17785448617, 1073741824, 0
25, 1073741824, 17946742097, 253916908, 81764999682, 253906271, 0.000000000E+00, 1.993793249E+00, 11251569334, 8593525730, 17879043563, 1073741824, 0
26, 1073741824, 17063877382, 253908367, 73199487039, 253897918, 0.000000000E+00, 1.993024588E+00, 10757912074, 8255804960, 17233433993, 1073741824, 0
27, 1073741824, 16709680076, 253916990, 72553467772, 253906300, 0.000000000E+00, 1.991279602E+00, 10249920797, 8161974659, 16590316752, 1073741824, 0
28, 1073741824, 16882890105, 253923544, 75354618174, 253912976, 0.000000000E+00, 1.991309047E+00, 10253801719, 8070243374, 16555601422, 1073741824, 0
29, 1073741824, 16627798374, 253940383, 72077351769, 253930026, 0.000000000E+00, 1.993477583E+00, 10145934363, 7968553796, 17109918494, 1073741824, 0
30, 1073741824, 16159815800, 253929959, 65172600933, 253919443, 0.000000000E+00, 1.995321870E+00, 10057508569, 8100316707, 16779415501, 1073741824, 0
31, 1073741824, 15753367518, 253926075, 64880402396, 253915526, 0.000000000E+00, 1.992035031E+00,  9946077146, 7876744074, 16467686397, 1073741824, 0
